Pacific - Anthony Townes,"['38/80', '13/30', '6/12', '3/5', '1/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Air Force - A.J. Walker,"['56/144', '23/52', '9/20', '4/7', '1/3', '1/1', '1/1', '0/1', '0/0', '0/0', '0/0']"
Pacific - Jahlil Tripp,"['51/98', '24/48', '9/22', '3/7', '1/3', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0']"
Pacific - Lafayette Dorsey,"['57/131', '17/51', '8/17', '2/7', '1/2', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0']"
Air Force - Chris Joyce,"['54/132', '17/47', '4/15', '2/4', '2/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Pacific - Ajare Sanni,"['25/79', '10/24', '5/8', '2/5', '0/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Air Force - Sid Tomes,"['31/103', '8/25', '1/7', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Air Force - Ameka Akaya,"['29/47', '11/22', '1/4', '1/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Air Force - Caleb Morris,"['39/94', '16/32', '8/15', '1/7', '1/1', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0']"
Air Force - Ryan Swan,"['68/126', '30/62', '16/26', '7/13', '4/7', '2/4', '0/2', '0/0', '0/0', '0/0', '0/0']"
Air Force - Lavelle Scottie,"['98/219', '44/90', '20/39', '6/18', '2/4', '2/2', '1/2', '1/1', '1/1', '1/1', '0/1']"
Pacific - Roberto Gallinat,"['60/124', '22/55', '8/21', '3/6', '0/3', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Air Force - Pervis Louder,"['23/51', '6/18', '4/6', '2/4', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Pacific - Jahbril Price-Noel,"['10/36', '4/9', '0/4', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Pacific - Jeremiah Bailey,"['26/82', '13/23', '3/10', '2/3', '1/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Pacific - Brandon McGhee,"['12/28', '5/10', '1/3', '1/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Pacific - Khy Kabellis,"['11/42', '4/9', '1/4', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Evansville - Marty Hill,"['73/168', '32/66', '13/28', '3/11', '0/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Albion - MJ Barnes,"['2/6', '1/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Evansville - Evan Kuhlman,"['47/111', '11/34', '4/11', '0/3', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Albion - Juwan Perry,"['0/3', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
