South Florida,7
DePaul,12
Marshall,15
Hampton,8
TCU,5
Texas,10
Green Bay,9
Texas Southern,6
Lipscomb,3
Wichita State,3
Virginia,6
Auburn,6
Michigan State,6
Texas Tech,7
Baylor,0
Oklahoma,0
Wake Forest,1
Louisville,5
West Virginia,4
Coastal Carolina,2
Southern Utah,0
CSU Bakersfield,2
Longwood,2
Colorado,3
Norfolk State,0
UT Rio Grande Valley,3
Utah Valley,3
Charleston Southern,1
Creighton,4
Florida International,0
Presbyterian,0
Indiana,1
NC State,2
Gonzaga,6
Florida State,5
NJIT,1
Loyola Marymount,1
Oregon,1
Tennessee,5
Purdue,5
UL Monroe,7
Michigan,3
North Carolina,2
Kentucky,6
Houston,0
LSU,4
Duke,8
Virginia Tech,1
