Arkansas State - Marquis Eaton,"['30/120', '12/22', '4/12', '2/4', '0/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Arkansas State - Ty Cockfield,"['76/186', '28/72', '11/27', '5/11', '2/5', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Arkansas State - Tristin Walley,"['14/63', '6/14', '2/3', '1/2', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Lehigh - Pat Andree,"['53/130', '19/48', '5/17', '2/4', '1/2', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0']"
Lehigh - Kyle Leufroy,"['44/118', '15/34', '7/14', '5/7', '2/4', '1/2', '0/1', '0/0', '0/0', '0/0', '0/0']"
Arkansas State - Kobe Wilson,"['9/30', '4/8', '1/4', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Lehigh - Nic Lynch,"['7/21', '3/4', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Arkansas State - Christian Willis,"['9/21', '0/6', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Lehigh - Caleb Bennett,"['14/37', '2/11', '1/2', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Arkansas State - J.J. Matthews,"['10/31', '2/8', '1/2', '1/1', '1/1', '1/1', '0/0', '0/0', '0/0', '0/0', '0/0']"
Arkansas State - Salif Boudie,"['5/12', '1/2', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Lehigh - James Karnik,"['10/19', '1/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Lehigh - Jordan Cohen,"['44/84', '16/35', '8/15', '3/8', '3/3', '1/1', '0/1', '0/0', '0/0', '0/0', '0/0']"
Lehigh - Jeameril Wilson,"['8/21', '2/4', '1/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Austin Peay - Steve Harris,"['44/100', '14/36', '3/13', '0/3', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Alabama A&M - Gerron Scissum,"['20/72', '8/19', '1/6', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Austin Peay - Jarrett Givens,"['35/93', '9/29', '4/8', '2/4', '1/2', '1/1', '1/1', '0/1', '0/0', '0/0', '0/0']"
Alabama A&M - Arthur Johnson,"['14/57', '4/13', '2/4', '1/2', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Alabama A&M - Jalen Reeder,"['39/110', '11/34', '1/8', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Alabama A&M - Andre Kennedy,"['43/108', '11/34', '2/6', '0/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Austin Peay - Zach Glotta,"['38/115', '15/35', '8/14', '2/8', '0/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Austin Peay - Dayton Gumm,"['13/37', '3/10', '1/2', '1/1', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Austin Peay - Terry Taylor,"['64/163', '23/60', '8/19', '3/8', '2/3', '0/2', '0/0', '0/0', '0/0', '0/0', '0/0']"
