NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
3922029,4,0-0,0-0,0-0,0,2,2,0,0,0,1,1,0
4066728,27,4-11,0-2,2-2,3,2,5,4,0,0,2,1,10
4278237,26,2-7,2-4,0-0,1,1,2,5,0,0,1,2,6
4278238,28,6-13,3-5,0-2,1,1,2,3,0,0,2,1,15
3132469,24,4-8,2-4,2-2,0,1,1,1,0,0,0,3,12
4396577,1,0-0,0-0,0-0,0,0,0,0,0,0,0,1,0
4396578,23,3-9,0-2,1-3,5,2,7,2,1,0,1,2,7
4396579,22,1-4,0-1,6-8,0,3,3,0,0,0,2,5,8
4066730,11,2-3,1-1,0-0,0,1,1,0,0,0,0,3,5
4066743,5,0-1,0-1,0-0,0,0,0,0,0,0,0,3,0
4396576,28,4-8,2-4,2-4,0,2,2,2,1,0,3,1,12
4066727,1,0-0,0-0,0-0,0,0,0,0,0,0,0,1,0
3946036,21,3-4,1-2,2-2,0,5,5,2,1,0,0,0,9
3149936,16,9-11,0-0,0-1,1,3,4,0,1,0,5,3,18
3947017,21,4-5,3-3,1-2,0,4,4,1,0,0,1,0,12
3947221,19,4-5,3-4,3-6,0,4,4,7,0,0,2,2,14
4278368,24,2-5,0-2,4-4,0,1,1,3,0,0,1,2,8
4397161,13,0-1,0-1,6-6,0,2,2,0,1,0,1,5,6
4397162,18,4-4,0-0,2-2,0,1,1,0,0,2,2,0,10
4397163,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
4278370,6,0-0,0-0,0-0,0,0,0,0,0,2,0,1,0
4397160,24,4-6,0-0,3-3,1,0,1,8,2,0,1,2,11
4066270,12,3-5,3-5,0-0,0,1,1,0,0,0,1,3,9
4066460,16,0-4,0-2,5-6,1,3,4,2,0,0,0,2,5
4066797,8,1-1,0-0,0-0,0,1,1,1,0,0,0,1,2
