1:52, Gardner-Webb, David Efianayi, Free Throw, 30, 24,45
1:52, Gardner-Webb, David Efianayi, Free Throw, 30, 25,67
1:52, Gardner-Webb, David Efianayi, Free Throw, 30, 26,67
2:53, Gardner-Webb, David Efianayi, Layup, 66, 64,30
2:32, Gardner-Webb, David Efianayi, Free Throw, 66, 65,30
2:32, Gardner-Webb, David Efianayi, Free Throw, 66, 66,30
1:26, Gardner-Webb, David Efianayi, Free Throw, 66, 67,80
1:26, Gardner-Webb, David Efianayi, Free Throw, 66, 68,80
2:00, Gardner-Webb, David Efianayi, Layup, 73, 77,45
0:20, Gardner-Webb, David Efianayi, Free Throw, 75, 78,90
0:20, Gardner-Webb, David Efianayi, Free Throw, 75, 79,90
0:11, Gardner-Webb, David Efianayi, Free Throw, 75, 80,90
0:02, Gardner-Webb, David Efianayi, Free Throw, 77, 81,90
0:00, Gardner-Webb, David Efianayi, Steal, 77, 81,126
0:04, Gardner-Webb, David Efianayi, Free Throw, 42, 38,90
0:04, Gardner-Webb, David Efianayi, Free Throw, 43, 38,90
0:01, Gardner-Webb, David Efianayi, Free Throw, 25, 28,135
0:01, Gardner-Webb, David Efianayi, Free Throw, 26, 28,180
0:38, Gardner-Webb, David Efianayi, Free Throw, 66, 58,50
0:38, Gardner-Webb, David Efianayi, Free Throw, 67, 58,25
0:19, Gardner-Webb, David Efianayi, Free Throw, 70, 63,60
2:19, Gardner-Webb, David Efianayi, Free Throw, 69, 71,40
2:19, Gardner-Webb, David Efianayi, Free Throw, 69, 72,30
1:33, Gardner-Webb, David Efianayi, Three Point Jumper, 71, 75,108
0:06, Gardner-Webb, David Efianayi, Free Throw, 74, 76,120
0:06, Gardner-Webb, David Efianayi, Free Throw, 74, 77,90
0:01, Gardner-Webb, David Efianayi, Free Throw, 60, 63,90
0:01, Gardner-Webb, David Efianayi, Free Throw, 60, 64,90
2:30, Gardner-Webb, David Efianayi, Steal, 69, 61,42
1:36, Gardner-Webb, David Efianayi, Three Point Jumper, 72, 66,108
